"chan2_id","chan1_id","dma1_id","dma2_id","dma3_id","chan2_name","chan1_name","dma1_name","dma2_name","dma3_name","bdgt_id","cps"
76,172,367,292,15,"Acquisition DM GM","DM","Central","Big South","Atlanta-GA","76_172_367_292_15",""
78,172,367,292,15,"Cross Sell DM GM","DM","Central","Big South","Atlanta-GA","78_172_367_292_15",""
79,172,367,292,15,"Cross Sell DM Hisp","DM","Central","Big South","Atlanta-GA","79_172_367_292_15",""
80,41,367,292,15,"DRTV GM","DRTV","Central","Big South","Atlanta-GA","80_41_367_292_15",""
81,41,367,292,15,"DRTV Hisp","DRTV","Central","Big South","Atlanta-GA","81_41_367_292_15",""
82,173,367,292,15,"FSI","Print","Central","Big South","Atlanta-GA","82_173_367_292_15",""
33,33,367,292,15,"OOH","OOH","Central","Big South","Atlanta-GA","33_33_367_292_15",""
83,75,367,292,15,"Online_Display_GM_Competitive","Display","Central","Big South","Atlanta-GA","83_75_367_292_15",""
84,75,367,292,15,"Online_Display_GM_Prod_Diff","Display","Central","Big South","Atlanta-GA","84_75_367_292_15",""
86,171,367,292,15,"Paid Search Branded","Search","Central","Big South","Atlanta-GA","86_171_367_292_15",""
87,171,367,292,15,"Paid Search NonBranded","Search","Central","Big South","Atlanta-GA","87_171_367_292_15",""
88,173,367,292,15,"Print","Print","Central","Big South","Atlanta-GA","88_173_367_292_15",""
89,30,367,292,15,"Radio GM Acquisition","Radio","Central","Big South","Atlanta-GA","89_30_367_292_15",""
90,30,367,292,15,"Radio GM Competitive","Radio","Central","Big South","Atlanta-GA","90_30_367_292_15",""
91,30,367,292,15,"Radio GM Prod Diff","Radio","Central","Big South","Atlanta-GA","91_30_367_292_15",""
99,30,367,292,15,"Radio GM Service Diff","Radio","Central","Big South","Atlanta-GA","99_30_367_292_15",""
92,30,367,292,15,"Radio Hisp","Radio","Central","Big South","Atlanta-GA","92_30_367_292_15",""
93,174,367,292,15,"TV GM Acquisition","TV","Central","Big South","Atlanta-GA","93_174_367_292_15",""
94,174,367,292,15,"TV GM Competitive","TV","Central","Big South","Atlanta-GA","94_174_367_292_15",""
95,174,367,292,15,"TV GM Prod Diff","TV","Central","Big South","Atlanta-GA","95_174_367_292_15",""
100,174,367,292,15,"TV Hisp Competitive","TV","Central","Big South","Atlanta-GA","100_174_367_292_15",""
98,175,367,292,15,"TV National Total","TV National","Central","Big South","Atlanta-GA","98_175_367_292_15",""
76,172,367,292,14,"Acquisition DM GM","DM","Central","Big South","Augusta-GA","76_172_367_292_14",""
78,172,367,292,14,"Cross Sell DM GM","DM","Central","Big South","Augusta-GA","78_172_367_292_14",""
79,172,367,292,14,"Cross Sell DM Hisp","DM","Central","Big South","Augusta-GA","79_172_367_292_14",""
80,41,367,292,14,"DRTV GM","DRTV","Central","Big South","Augusta-GA","80_41_367_292_14",""
33,33,367,292,14,"OOH","OOH","Central","Big South","Augusta-GA","33_33_367_292_14",""
83,75,367,292,14,"Online_Display_GM_Competitive","Display","Central","Big South","Augusta-GA","83_75_367_292_14",""
84,75,367,292,14,"Online_Display_GM_Prod_Diff","Display","Central","Big South","Augusta-GA","84_75_367_292_14",""
86,171,367,292,14,"Paid Search Branded","Search","Central","Big South","Augusta-GA","86_171_367_292_14",""
87,171,367,292,14,"Paid Search NonBranded","Search","Central","Big South","Augusta-GA","87_171_367_292_14",""
89,30,367,292,14,"Radio GM Acquisition","Radio","Central","Big South","Augusta-GA","89_30_367_292_14",""
90,30,367,292,14,"Radio GM Competitive","Radio","Central","Big South","Augusta-GA","90_30_367_292_14",""
91,30,367,292,14,"Radio GM Prod Diff","Radio","Central","Big South","Augusta-GA","91_30_367_292_14",""
99,30,367,292,14,"Radio GM Service Diff","Radio","Central","Big South","Augusta-GA","99_30_367_292_14",""
93,174,367,292,14,"TV GM Acquisition","TV","Central","Big South","Augusta-GA","93_174_367_292_14",""
95,174,367,292,14,"TV GM Prod Diff","TV","Central","Big South","Augusta-GA","95_174_367_292_14",""
98,175,367,292,14,"TV National Total","TV National","Central","Big South","Augusta-GA","98_175_367_292_14",""
82,173,367,292,28,"FSI","Print","Central","Big South","Birmingham (Anniston and Tuscaloosa)-AL","82_173_367_292_28",""
33,33,367,292,28,"OOH","OOH","Central","Big South","Birmingham (Anniston and Tuscaloosa)-AL","33_33_367_292_28",""
83,75,367,292,28,"Online_Display_GM_Competitive","Display","Central","Big South","Birmingham (Anniston and Tuscaloosa)-AL","83_75_367_292_28",""
84,75,367,292,28,"Online_Display_GM_Prod_Diff","Display","Central","Big South","Birmingham (Anniston and Tuscaloosa)-AL","84_75_367_292_28",""
86,171,367,292,28,"Paid Search Branded","Search","Central","Big South","Birmingham (Anniston and Tuscaloosa)-AL","86_171_367_292_28",""
